file_flat0,raft_sensor,file_flat1
MC_C_20211207_000653_R01_S10.fits,R01_S10,MC_C_20211207_000654_R01_S10.fits
MC_C_20211207_000653_R22_S00.fits,R22_S00,MC_C_20211207_000654_R22_S00.fits
MC_C_20211207_000653_R42_S21.fits,R42_S21,MC_C_20211207_000654_R42_S21.fits
MC_C_20211207_000653_R10_S02.fits,R10_S02,MC_C_20211207_000654_R10_S02.fits
MC_C_20211207_000653_R20_S02.fits,R20_S02,MC_C_20211207_000654_R20_S02.fits
MC_C_20211207_000653_R24_S01.fits,R24_S01,MC_C_20211207_000654_R24_S01.fits
MC_C_20211207_000653_R22_S12.fits,R22_S12,MC_C_20211207_000654_R22_S12.fits
MC_C_20211207_000653_R11_S00.fits,R11_S00,MC_C_20211207_000654_R11_S00.fits
MC_C_20211207_000653_R14_S00.fits,R14_S00,MC_C_20211207_000654_R14_S00.fits
MC_C_20211207_000653_R22_S21.fits,R22_S21,MC_C_20211207_000654_R22_S21.fits
MC_C_20211207_000653_R32_S10.fits,R32_S10,MC_C_20211207_000654_R32_S10.fits
MC_C_20211207_000653_R21_S11.fits,R21_S11,MC_C_20211207_000654_R21_S11.fits
MC_C_20211207_000653_R44_SW0.fits,R44_SW0,MC_C_20211207_000654_R44_SW0.fits
MC_C_20211207_000653_R01_S22.fits,R01_S22,MC_C_20211207_000654_R01_S22.fits
MC_C_20211207_000653_R00_SW0.fits,R00_SW0,MC_C_20211207_000654_R00_SW0.fits
MC_C_20211207_000653_R20_S11.fits,R20_S11,MC_C_20211207_000654_R20_S11.fits
MC_C_20211207_000653_R30_S21.fits,R30_S21,MC_C_20211207_000654_R30_S21.fits
MC_C_20211207_000653_R31_S01.fits,R31_S01,MC_C_20211207_000654_R31_S01.fits
MC_C_20211207_000653_R12_S00.fits,R12_S00,MC_C_20211207_000654_R12_S00.fits
MC_C_20211207_000653_R24_S10.fits,R24_S10,MC_C_20211207_000654_R24_S10.fits
MC_C_20211207_000653_R32_S01.fits,R32_S01,MC_C_20211207_000654_R32_S01.fits
MC_C_20211207_000653_R00_SG1.fits,R00_SG1,MC_C_20211207_000654_R00_SG1.fits
MC_C_20211207_000653_R11_S10.fits,R11_S10,MC_C_20211207_000654_R11_S10.fits
MC_C_20211207_000653_R24_S22.fits,R24_S22,MC_C_20211207_000654_R24_S22.fits
MC_C_20211207_000653_R42_S22.fits,R42_S22,MC_C_20211207_000654_R42_S22.fits
MC_C_20211207_000653_R10_S00.fits,R10_S00,MC_C_20211207_000654_R10_S00.fits
MC_C_20211207_000653_R22_S02.fits,R22_S02,MC_C_20211207_000654_R22_S02.fits
MC_C_20211207_000653_R22_S10.fits,R22_S10,MC_C_20211207_000654_R22_S10.fits
MC_C_20211207_000653_R12_S10.fits,R12_S10,MC_C_20211207_000654_R12_S10.fits
MC_C_20211207_000653_R32_S00.fits,R32_S00,MC_C_20211207_000654_R32_S00.fits
MC_C_20211207_000653_R23_S11.fits,R23_S11,MC_C_20211207_000654_R23_S11.fits
MC_C_20211207_000653_R30_S01.fits,R30_S01,MC_C_20211207_000654_R30_S01.fits
MC_C_20211207_000653_R30_S22.fits,R30_S22,MC_C_20211207_000654_R30_S22.fits
MC_C_20211207_000653_R11_S12.fits,R11_S12,MC_C_20211207_000654_R11_S12.fits
MC_C_20211207_000653_R31_S10.fits,R31_S10,MC_C_20211207_000654_R31_S10.fits
MC_C_20211207_000653_R34_S01.fits,R34_S01,MC_C_20211207_000654_R34_S01.fits
MC_C_20211207_000653_R44_SG1.fits,R44_SG1,MC_C_20211207_000654_R44_SG1.fits
MC_C_20211207_000653_R42_S00.fits,R42_S00,MC_C_20211207_000654_R42_S00.fits
MC_C_20211207_000653_R41_S00.fits,R41_S00,MC_C_20211207_000654_R41_S00.fits
MC_C_20211207_000653_R01_S02.fits,R01_S02,MC_C_20211207_000654_R01_S02.fits
MC_C_20211207_000653_R21_S20.fits,R21_S20,MC_C_20211207_000654_R21_S20.fits
MC_C_20211207_000653_R30_S20.fits,R30_S20,MC_C_20211207_000654_R30_S20.fits
MC_C_20211207_000653_R24_S00.fits,R24_S00,MC_C_20211207_000654_R24_S00.fits
MC_C_20211207_000653_R21_S10.fits,R21_S10,MC_C_20211207_000654_R21_S10.fits
MC_C_20211207_000653_R13_S00.fits,R13_S00,MC_C_20211207_000654_R13_S00.fits
MC_C_20211207_000653_R43_S01.fits,R43_S01,MC_C_20211207_000654_R43_S01.fits
MC_C_20211207_000653_R21_S21.fits,R21_S21,MC_C_20211207_000654_R21_S21.fits
MC_C_20211207_000653_R13_S10.fits,R13_S10,MC_C_20211207_000654_R13_S10.fits
MC_C_20211207_000653_R32_S12.fits,R32_S12,MC_C_20211207_000654_R32_S12.fits
MC_C_20211207_000653_R42_S12.fits,R42_S12,MC_C_20211207_000654_R42_S12.fits
MC_C_20211207_000653_R04_SG1.fits,R04_SG1,MC_C_20211207_000654_R04_SG1.fits
MC_C_20211207_000653_R20_S21.fits,R20_S21,MC_C_20211207_000654_R20_S21.fits
MC_C_20211207_000653_R03_S02.fits,R03_S02,MC_C_20211207_000654_R03_S02.fits
MC_C_20211207_000653_R34_S22.fits,R34_S22,MC_C_20211207_000654_R34_S22.fits
MC_C_20211207_000653_R03_S10.fits,R03_S10,MC_C_20211207_000654_R03_S10.fits
MC_C_20211207_000653_R21_S01.fits,R21_S01,MC_C_20211207_000654_R21_S01.fits
MC_C_20211207_000653_R20_S01.fits,R20_S01,MC_C_20211207_000654_R20_S01.fits
MC_C_20211207_000653_R04_SW1.fits,R04_SW1,MC_C_20211207_000654_R04_SW1.fits
MC_C_20211207_000653_R43_S10.fits,R43_S10,MC_C_20211207_000654_R43_S10.fits
MC_C_20211207_000653_R21_S22.fits,R21_S22,MC_C_20211207_000654_R21_S22.fits
MC_C_20211207_000653_R20_S00.fits,R20_S00,MC_C_20211207_000654_R20_S00.fits
