file_flat0,raft_sensor,file_flat1
MC_C_20211207_000050_R23_S00.fits,R23_S00,MC_C_20211207_000051_R23_S00.fits
MC_C_20211207_000050_R43_S02.fits,R43_S02,MC_C_20211207_000051_R43_S02.fits
MC_C_20211207_000050_R10_S11.fits,R10_S11,MC_C_20211207_000051_R10_S11.fits
MC_C_20211207_000050_R33_S22.fits,R33_S22,MC_C_20211207_000051_R33_S22.fits
MC_C_20211207_000050_R11_S22.fits,R11_S22,MC_C_20211207_000051_R11_S22.fits
MC_C_20211207_000050_R41_S12.fits,R41_S12,MC_C_20211207_000051_R41_S12.fits
MC_C_20211207_000050_R32_S01.fits,R32_S01,MC_C_20211207_000051_R32_S01.fits
MC_C_20211207_000050_R14_S11.fits,R14_S11,MC_C_20211207_000051_R14_S11.fits
MC_C_20211207_000050_R34_S20.fits,R34_S20,MC_C_20211207_000051_R34_S20.fits
MC_C_20211207_000050_R44_SG1.fits,R44_SG1,MC_C_20211207_000051_R44_SG1.fits
